Topic,VideoTitle,LikeCount,ViewCount,CommentsTone,Link,Score
API,What is an API ? Simply Explained,60k,1.4m,,https://www.youtube.com/watch?v=XGa4onZP66Q,
Full Stack,"Full Stack Web Development for Beginners (Full Course on HTML, CSS, JavaScript, Node.js, MongoDB)",31k,1m,,https://www.youtube.com/watch?v=nu_pCVPKzTk,
HTML,HTML Tutorial - Website Crash Course for Beginners,6.4k,216k,,https://www.youtube.com/watch?v=916GWv2Qs08,
Prompt Engineering,Prompt Engineering Tutorial ? Master ChatGPT and LLM Responses,8.3k,222k,,https://www.youtube.com/watch?v=_ZvnD73m40o&t=121s,
Java Database,Java Database Connectivity | JDBC,414,13k,,https://www.youtube.com/watch?v=7v2OnUti2eM&t=12s,
Computer Organization,L-1.13: What is Instruction Format | Understand Computer Organisation with Simple Story,12k,582k,,https://www.youtube.com/watch?v=WAO_W6Hpzyk,
Computer Organization,Basic operational concepts of a computer || Basic Operational Concepts CO || CO || COA || CA,232,10k,,https://www.youtube.com/watch?v=OtOd8e0fIHY,
Digital electronics,DAY 30 | DIGITAL ELECTRONICS | I SEM | B.C.A | BASIC OPERATIONAL CONCEPTS | L3,31,1.5k,,https://www.youtube.com/watch?v=vpyfYzpG5kE,
Deep Learning,Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,19k,1.1M,,https://www.youtube.com/watch?v=6M5VXKLf4D4,
Data Analytics,What Is Data Analytics? - An Introduction (Full Guide),23k,891k,,https://www.youtube.com/watch?v=yZvFH7B6gKI&t=37s,
Machine learning,Machine learning Explained in 100 seconds,21k,384k,,https://www.youtube.com/watch?v=PeMlggyqz0Y,
Natural Language processing,Natural Language Processing In 5 Minutes | What Is NLP And How Does It Work? | Simplilearn,6.6k,357k,,https://www.youtube.com/watch?v=CMrHM8a3hqw,
REST API,What is a REST API?,32k,1.1M,,https://www.youtube.com/watch?v=lsMQRaeKNDk,
JSON,Learn JSON in 10 Minutes,82k,8.2M,,https://www.youtube.com/watch?v=iiADhChRriM,
node.js,Node.js Tutorial for Beginners: Learn Node in 1 Hour,84k,5.2M,,https://www.youtube.com/watch?v=TlB_eWDSMt4,
React,Learn React With This One Project,10K,385K,,https://www.youtube.com/watch?v=Rh3tobg7hEo,
Junit,Java Testing - JUnit 5 Crash Course,5.1K,291K,,https://www.youtube.com/watch?v=flpmSXVTqBI,
Figma,Figma tutorial: Intro to variables,5.5K,273K,,https://www.youtube.com/watch?v=1ONxxlJnvdM,
